country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Afghanistan,AFG,4/22/2021,240000,240000,,,8000,0.62,0.62,,206,Oxford/AstraZeneca,Government of Afghanistan,https://reliefweb.int/report/afghanistan/afghanistan-strategic-situation-report-covid-19-no-95-22-april-2021
Albania,ALB,5/1/2021,494028,,,17125,13423,17.17,,,4664,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://twitter.com/gmanastirliu/status/1388562805029212162
Algeria,DZA,2/19/2021,75000,,,,3748,0.17,,,85,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Andorra,AND,4/19/2021,26414,21733,4681,,1050,34.19,28.13,6.06,13590,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Andorra,https://www.govern.ad/covid19_newsletter/
Angola,AGO,4/23/2021,456349,456349,,,16736,1.39,1.39,,509,Oxford/AstraZeneca,Ministry of Health,https://www.angop.ao/en/noticias/saude/covid-19-angola-com-456.349-cidadaos-vacinados/
Anguilla,AIA,4/22/2021,6898,6115,783,,106,45.98,40.76,5.22,7066,Oxford/AstraZeneca,Ministry of Health,https://www.travelpulse.com/news/impacting-travel/new-covid-19-case-prompts-14-day-anguilla-closure.html
Antigua and Barbuda,ATG,4/22/2021,29754,29754,,,250,30.38,30.38,,2553,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/investingforwellness/photos/a.259371477836167/1151870888586217/
Argentina,ARG,5/2/2021,7997902,7025492,972410,26432,123279,17.7,15.54,2.15,2728,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Armenia,ARM,3/31/2021,565,565,,,,0.02,0.02,,,Sputnik V,Ministry of Health,https://rus.azatutyun.am/a/31180204.html
Aruba,ABW,4/30/2021,76865,54306,22559,1019,1274,71.99,50.86,21.13,11933,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
Australia,AUS,5/2/2021,2254074,,,19230,45714,8.84,,,1793,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
Austria,AUT,5/2/2021,3194219,2341905,852441,16265,48779,35.47,26,9.46,5416,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
Azerbaijan,AZE,5/2/2021,1516923,975208,541715,11717,13375,14.96,9.62,5.34,1319,Sinovac,Government of Azerbaijan,https://koronavirusinfo.az
Bahamas,BHS,4/27/2021,25692,25692,,,541,6.53,6.53,,1376,Oxford/AstraZeneca,Government of the Bahamas,https://opm.gov.bs/covid-19-vaccinations-now-open-to-18-and-older/
Bahrain,BHR,5/2/2021,1264087,717024,547063,17848,11907,74.29,42.14,32.15,6998,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/
Bangladesh,BGD,4/29/2021,8625350,5819656,2805694,107549,125527,5.24,3.53,1.7,762,Oxford/AstraZeneca,Directorate General of Health Services,https://dghs.gov.bd/images/docs/vpr/Covid-19-Vaccination-Update-29-4-2021.pdf
Barbados,BRB,5/1/2021,74608,74608,,390,269,25.96,25.96,,936,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4163648560333849/
Belarus,BLR,4/23/2021,328500,244000,84500,,15029,3.48,2.58,0.89,1590,Sputnik V,Ministry of Health,https://eng.belta.by/society/view/belarus-covid-19-update-1735-new-cases-1733-recoveries-139354-2021/
Belgium,BEL,5/2/2021,3902903,3070545,835126,2776,57640,33.68,26.49,7.21,4973,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belize,BLZ,4/28/2021,42100,42100,,1086,715,10.59,10.59,,1798,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/Belizehealth/photos/a.1410495949248816/2674510392847359/
Bermuda,BMU,4/26/2021,55904,32129,23775,,510,89.77,51.59,38.18,8190,Pfizer/BioNTech,Government of Bermuda,https://www.royalgazette.com/health/news/article/20210427/live-covid-press-conference-5-30pm/
