date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,median_income_2017
5/4/2021,Alabama,2644674,4145390,1609919,24.06,53.94,1179793,32.83,84.54,17352,20711,4224,0.638,51113.00 
5/4/2021,Alaska,563184,772405,308846,36.05,76.99,263754,42.22,105.59,309,3084,4216,0.729,72231.00
5/4/2021,Arizona,5193862,6918625,3009821,29.99,71.36,2183095,41.35,95.05,17087,36127,4963,0.751,61125.00
5/4/2021,Arkansas,1834452,2645650,1085254,26.37,60.79,795792,35.96,87.67,4538,13845,4588,0.693,48829.00
5/4/2021,California,31468937,40533720,19712296,32.08,79.64,12676173,49.89,102.59,86797,299430,7578,0.776,69759.00
5/4/2021,Colorado,4602145,5598750,2722484,34.25,79.92,1972476,47.28,97.22,31144,46187,8020,0.822,74172.00
5/4/2021,Connecticut,3336074,3955085,1995763,40.61,93.57,1447776,55.98,110.93,14365,31994,8974,0.843,72780.00
5/4/2021,Delaware,787056,1011365,464102,34.3,80.83,334001,47.66,103.86,3243,8282,8505,0.778,62318.00
5/4/2021,District of Columbia,621149,875555,347171,31.3,88.01,220887,49.19,124.06,963,5734,8125,0.709,83382.00
5/4/2021,Florida,15606003,21184875,9138942,30.18,72.66,6481275,42.55,98.64,39599,129632,6036,0.737,53681.00
5/4/2021,Georgia,6503909,9721415,3769478,25.71,61.26,2730134,35.5,91.56,42175,63329,5965,0.669,57016.00
5/4/2021,Hawaii,1259768,1514400,763392,36.88,88.97,522156,53.92,106.96,2057,11369,8030,0.832,73575.00
5/4/2021,Idaho,1102927,1453795,614283,28.03,61.72,500882,34.37,81.35,1526,7412,4148,0.759,60208.00
5/4/2021,Illinois,9705012,12360865,6012435,31.55,76.59,3998074,47.45,97.55,17037,80149,6325,0.785,64609.00
5/4/2021,Indiana,4277886,5610540,2473686,28.02,63.54,1886703,36.74,83.34,10208,39356,5846,0.762,58873.00
5/4/2021,Iowa,2461590,2856615,1411697,35.77,78.02,1128668,44.74,90.54,7956,22154,7022,0.862,63481.00
5/4/2021,Kansas,2059674,2765345,1252195,32.66,70.7,951548,42.98,94.92,3588,13416,4605,0.745,57872.00
5/4/2021,Kentucky,3196561,4023755,1855240,32.6,71.55,1456343,41.53,90.06,6501,18906,4232,0.794,51348.00
5/4/2021,Louisiana,2733324,3687450,1508110,26.94,58.8,1252156,32.44,79.32,2730,9515,2047,0.741,43903.00
5/4/2021,Maine,1224746,1430130,750419,41.48,91.11,557579,55.83,106.39,23401,12453,9264,0.856,51664.00
5/4/2021,Maryland,4946283,6251320,2995467,35.52,81.82,2147415,49.55,103.4,34255,47218,7810,0.791,81084.00
5/4/2021,Massachusetts,6438914,7792680,3977645,38.53,93.42,2655965,57.71,113.06,35674,75177,10907,0.826,73227.00
5/4/2021,Michigan,7325604,9879700,4322662,33.3,73.35,3325862,43.28,98.93,12681,66577,6666,0.741,57700.00
5/4/2021,Minnesota,4509359,5176510,2709898,35.84,79.96,2021447,48.05,91.79,11562,43493,7712,0.871,71920.00
5/4/2021,Mississippi,1616672,2468665,935532,24.32,54.32,723710,31.43,82.95,24675,8750,2940,0.655,43441.00
